loss,params,time
-0.4505928853754941,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 64, 'units3': 32, 'units4': 128}",335.65133849999984
-0.4980237154150198,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 32, 'units3': 128, 'units4': 128}",333.83140190000086
-0.4426877470355731,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.1, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 256, 'units3': 32, 'units4': 128}",341.53881230000115
-0.4743083003952569,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 64, 'units3': 32, 'units4': 128}",334.70376269999906
-0.5138339920948617,"{'activation': 'softmax', 'batch_size': 256, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 128, 'units4': 256}",896.2309833000018
-0.49407114624505927,"{'activation': 'softmax', 'batch_size': 512, 'dropout1': 0.1, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 16, 'units4': 256}",644.7905032000017
-0.466403162055336,"{'activation': 'sigmoid', 'batch_size': 128, 'dropout1': 0.2, 'dropout2': 0.2, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 32, 'units4': 256}",719.5491443999999
-0.4901185770750988,"{'activation': 'softmax', 'batch_size': 512, 'dropout1': 0.2, 'dropout2': 0.1, 'nb_epochs': 50, 'optimizer': 'adam', 'units1': 512, 'units2': 512, 'units3': 256, 'units4': 256}",339.21628150000106
-0.5177865612648221,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.2, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 512, 'units4': 256}",395.358593500001
-0.4980237154150198,"{'activation': 'sigmoid', 'batch_size': 256, 'dropout1': 0.3, 'dropout2': 0.4, 'nb_epochs': 100, 'optimizer': 'adam', 'units1': 64, 'units2': 64, 'units3': 512, 'units4': 256}",394.2849692000018
